blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,lat,lng,postal
349,CORPORATION DR,11,1997,Y,N,N,Y,N,N,JW,77,0,0,0,38,39,0,0,0,0,0,0,0,1.33412822236042,103.722420154932,NIL
349,JURONG EAST AVE 1,3,1984,Y,Y,N,N,N,N,JE,14,0,0,14,0,0,0,0,0,0,0,0,0,1.34394361727901,103.734931027328,NIL
349,TAMPINES ST 33,10,1994,Y,Y,N,N,N,N,TAP,81,0,0,0,27,54,0,0,0,0,0,0,0,1.35687847904174,103.937739198068,520703
349,UBI AVE 1,12,1985,Y,N,N,N,N,N,GL,114,0,0,0,114,0,0,0,0,0,0,0,0,1.32970734674113,103.899775893502,NIL
349,WOODLANDS AVE 3,13,1985,Y,N,N,N,N,N,WL,96,0,0,0,54,42,0,0,0,0,0,0,0,1.43277433932257,103.779091222588,NIL
349,YISHUN AVE 11,12,1988,Y,N,N,N,N,N,YS,132,0,0,0,85,47,0,0,0,0,0,0,0,1.42461689018749,103.844628266802,NIL
35,BEDOK STH AVE 2,16,1977,Y,N,N,Y,N,N,BD,210,0,0,0,210,0,0,0,0,0,0,0,0,1.32238689442477,103.937406737315,NIL
35,CHAI CHEE AVE,16,1974,Y,N,N,Y,N,N,BD,150,0,0,0,150,0,0,0,0,0,0,0,0,1.32513331160394,103.924132622313,NIL
35,CIRCUIT RD,16,1965,Y,Y,N,Y,N,N,GL,140,0,0,112,28,0,0,0,0,0,0,0,0,1.32606517030891,103.888432857776,NIL
35,EUNOS CRES,19,2005,Y,N,N,N,N,N,GL,104,0,0,35,52,17,0,0,0,0,0,0,0,1.32152520135487,103.903634247689,NIL
35,JLN RUMAH TINGGI,22,1997,Y,Y,N,N,N,N,BM,116,0,0,0,11,105,0,0,0,0,0,0,0,1.28788347283405,103.809426018793,NIL
35,JLN BAHAGIA,10,1963,Y,N,N,N,N,N,KWN,120,0,0,120,0,0,0,0,0,0,0,0,0,1.32689311717654,103.858444806603,NIL
35,LIM LIAK ST,4,1949,Y,N,N,N,N,N,BM,15,0,0,14,1,0,0,0,0,0,0,0,0,1.28526396242551,103.831612311076,NIL
35,LOR 5 TOA PAYOH,25,1995,Y,N,N,N,N,N,TP,144,0,0,0,72,72,0,0,0,0,0,0,0,1.336020767662,103.852956988062,310075
35,MARGARET DR,26,2021,Y,N,N,N,N,N,QT,126,0,104,22,0,0,0,0,0,0,0,0,0,1.2968175610396,103.808394887713,NIL
35,MARSILING DR,25,1976,Y,Y,N,N,N,N,WL,96,0,0,0,0,96,0,0,0,0,0,0,0,1.44235164045446,103.774943528093,NIL
35,MARINE CRES,10,1974,Y,N,N,Y,N,N,MP,126,0,0,72,54,0,0,0,0,0,0,0,0,1.30572354541959,103.91253050447,440047
35,TANGLIN HALT RD,10,1962,Y,N,N,N,N,N,QT,119,0,0,0,0,0,0,0,0,0,30,88,1,1.30003153088911,103.797273446935,NIL
35,TEBAN GDNS RD,14,1976,Y,N,N,N,N,N,JE,108,0,0,104,0,4,0,0,0,0,0,0,0,1.3218797637756,103.741827291541,NIL
35,TELOK BLANGAH RISE,4,1975,Y,Y,N,N,N,N,BM,28,0,0,28,0,0,0,0,0,0,0,0,0,1.27274306618163,103.821240971947,NIL
35A,BEDOK STH AVE 2,1,2005,N,N,N,N,Y,N,BD,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32238689442477,103.937406737315,NIL
